Key,english,french,spanish,german,polish,brazilian,russian,turkish,tchinese
ammoJunkTurretShockDesc,[88bf97]TECHNOGEEK ONLY[-]\nSlight variation to the Junk Turret's basic ammunition.\n\nWill shock any enemy hit with it.\n\nRecipe will craft 20 ammo at a time,[88bf97]TECHNOGEEK UNIQUEMENT[-]\nLégère variation des munitions de base de la tourelle robotique.\n\nParalysera tout ennemi touché avec elle.\n\nLa recette fabriquera 20 munitions à la fois,[88bf97]SOLO PARA TECHNOGEEK[-]\nUna ligera variación de la munición básica de la Torreta de Basura.\n\nAfectará a cualquier enemigo alcanzado.\n\nLa receta fabricará 20 municiones a la vez.,[88bf97]NUR FÜR TECHNOGEEKS[-]\nLeichte Abwandlung der Standardmunition des Schrott-Geschützturms.\n\nBetäubt jeden getroffenen Gegner.\n\nDas Rezept stellt jeweils 20 Stück Munition her.,[88bf97]TYLKO DLA TECHNOGEEKÓW[-]\nNiewielka zmiana w stosunku do podstawowej amunicji wieżyczki na śmieci.\n\nPoraży każdego trafionego nią wroga.\n\nPrzepis pozwala na wytworzenie 20 sztuk amunicji na raz,[88bf97]SOMENTE PARA TECNOLOGISTAS[-]\nPequena variação da munição básica da Torreta de Sucata.\n\nEletrocutará qualquer inimigo atingido.\n\nA receita produz 20 munições por vez.,"[88bf97]ТОЛЬКО ДЛЯ ТЕХНОГЕКОВ[-]\nНебольшое изменение базового боеприпаса мусорной турели.\n\nПоражает шоком любого врага, попавшего под удар.\n\nРецепт позволяет создавать 20 боеприпасов за раз.","[88bf97]SADECE TEKNOLOJİ UZMANI[-]\nHurda Kulesi'nin temel mühimmatında küçük bir değişiklik.\n\nVurulan her düşmanı şok eder.\n\nTarif, bir seferde 20 mühimmat üretir",[88bf97]僅限科技宅[-]\n垃圾砲塔基本彈藥的輕微變體。\n\n會電擊被命中的敵人。\n\n配方一次製作20發彈藥
animalZombieVultureBoss,Zombie Vulture (Boss),Vautour zombie (Boss),Buitre zombi (jefe),Zombie-Geier (Boss),Zombie Sęp (Boss),Abutre Zumbi (Chefe),Зомби-стервятник (босс),Zombi Akbaba (Patron),喪屍禿鷹（首領）
animalZombieVultureRadiatedBoss,Radiated Zombie Vulture (Boss),Vautour zombie irradié (Boss),Buitre zombi radiado (jefe),Verstrahlter Zombie-Geier (Boss),Promieniujący Sęp Zombie (Boss),Abutre Zumbi Radiado (Chefe),Радиоактивный зомби-стервятник (босс),Radyasyonlu Zombi Akbaba (Boss),輻射喪屍禿鷹（首領）
apparelCigarDesc,Look intimidating and get a better deal from traders. Also boosts your luck. Your loot stage is increased by [97de9e]10%[-],Ayez l'air intimidant pour obtenir de meilleures offres des marchands. Augmente également votre chance. Augmente votre chance de trouver du meilleur butin de [97de9e]10%[-],"Luce intimidante y consigue mejores ofertas con los comerciantes. Además, aumenta tu suerte. Tu nivel de botín aumenta un [97de9e]10%[-]",Wirke einschüchternd und erhalte bessere Konditionen von Händlern. Erhöht außerdem dein Glück. Deine Beutestufe wird um [97de9e]10%[-] erhöht.,Wyglądaj groźnie i zgarnij lepsze oferty od handlarzy. Zwiększa to również twoje szczęście. Twój poziom łupów wzrasta o [97de9e]10%[-].,Tenha uma aparência intimidadora e consiga melhores negócios com os comerciantes. Também aumenta sua sorte. Seu nível de saque é aumentado em [97de9e]10%[-],Выглядите устрашающе и получайте более выгодные предложения от торговцев. Также повышает вашу удачу. Уровень добычи увеличивается на [97de9e]10%[-],Göz korkutucu görünün ve tüccarlardan daha iyi bir anlaşma alın. Ayrıca şansınızı artırır. Ganimet seviyeniz [97de9e]%10[-] artar.,看起來令人生畏，可從商人那裏低價買到。還能增強戰鬥力！
apparelCoatJacketLetterZU,College Jacket,Veste universitaire,Chaqueta universitaria,Collegejacke,Kurtka studencka,Jaqueta universitária,Куртка колледжа,Üniversite Ceketi,學院風夾克
apparelCoatJacketLetterZUDesc,Feel like a pro athlete in this college jacket.\n\nUsed to craft a mod of the same type,Sentez-vous comme un athlète professionnel avec cette veste universitaire.\n\nUtilisé pour fabriquer un mod du même type,Siéntete como un atleta profesional con esta chaqueta universitaria.\n\nSe utiliza para crear un mod del mismo tipo.,"Fühl dich wie ein Profisportler in dieser College-Jacke.\n\nWird verwendet, um eine Modifikation desselben Typs herzustellen",Poczuj się jak profesjonalny sportowiec w tej kurtce uniwersyteckiej.\n\nUżywana do stworzenia modyfikacji tego samego typu,Sinta-se como um atleta profissional com esta jaqueta universitária.\n\nUsado para criar um mod do mesmo tipo,Почувствуйте себя профессиональным спортсменом в этой студенческой куртке.\n\nИспользуется для создания мода того же типа.,Bu üniversite ceketiyle kendinizi profesyonel bir atlet gibi hissedeceksiniz.\n\nAynı tipte bir mod üretmek için kullanılır,穿上這件學院風夾克，有點職業運動員的樣子了。跑速提高 10％。
apparelRunningShoesHP,High Performance Running Shoes,Chaussures de course haute performance,Zapatillas de running de alto rendimiento,Hochleistungs-Laufschuhe,Buty do biegania o wysokiej wydajności,Tênis de corrida de alto desempenho,Высокопроизводительные кроссовки для бега,Yüksek Performanslı Koşu Ayakkabıları,高性能跑鞋
apparelRunningShoesHPDesc,"You don't have to be the fastest, you just have to not be the slowest.\n\nUsed to craft a mod of the same type","Vous n'avez pas besoin d'être le plus rapide, vous devez juste ne pas être le plus lent.\n\nUtilisé pour créer un mod du même type","No tienes que ser el más rápido, solo no tienes que ser el más lento.\n\nSe usa para crear un mod del mismo tipo.","Du musst nicht der Schnellste sein, du darfst nur nicht der Langsamste sein.\n\nWird verwendet, um eine Modifikation desselben Typs herzustellen.","Nie musisz być najszybszy, ale nie możesz być najwolniejszy.\n\nSłuży do tworzenia modyfikacji tego samego typu","Você não precisa ser o mais rápido, basta não ser o mais lento.\n\nUsado para criar um mod do mesmo tipo","Вам не обязательно быть самым быстрым, достаточно быть не самым медленным.\n\nИспользуется для создания мода того же типа.","En hızlı olmanıza gerek yok, sadece en yavaş olmamanız gerekiyor.\n\nAynı türden bir mod oluşturmak için kullanılır",你不一定是跑得最快的，但也一定不是最慢的。\n減少衝刺時的耐力損失。
armorAssassinBootsDesc1,"Heavy Armor\nSilent, but deadly.\n\nRepair with an Armor Kit.\n\nFull Set Bonus: Become hidden faster.","Armure lourde\nSilencieuse, mais mortelle.\n\nRéparez avec un kit d'armure.\n\nBonus d'ensemble complet : cachez-vous plus rapidement.","Armadura pesada\nSilenciosa, pero letal.\n\nSe repara con un kit de armadura.\n\nBonificación de conjunto completo: Te ocultas más rápido.","Schwere Rüstung\nLeise, aber tödlich.\n\nRepariere sie mit einem Rüstungsset.\n\nVollständiger Setbonus: Werde schneller unsichtbar.","Ciężka zbroja\nCicha, ale zabójcza.\n\nNapraw ją za pomocą zestawu pancerza.\n\nPremia za cały zestaw: Szybciej się ukrywaj.","Armadura Pesada\nSilenciosa, mas mortal.\n\nRepare com um Kit de Armadura.\n\nBônus de Conjunto Completo: Fique invisível mais rapidamente.","Тяжелая броня\nТихая, но смертоносная.\n\nРемонтируется с помощью комплекта брони.\n\nБонус полного комплекта: вы быстрее становитесь незаметным.",Ağır Zırh\nSessiz ama ölümcül.\n\nZırh Seti ile onarın.\n\nTam Set Bonusu: Daha hızlı gizlenin.,重型護甲\n沉默但致命。\n\n使用護甲修復包修復。\n\n全套加成： Become hidden更快.
armorAssassinGlovesDesc1,Heavy Armor\nDexterity is the key to unleashing your fury.\n\nRepair with an Armor Kit.\n\nFull Set Bonus: Become hidden faster.,Armure lourde\nL'agilité est la clé pour libérer votre fureur.\n\nRéparez avec un kit d'armure.\n\nBonus d'ensemble complet : cachez-vous plus rapidement.,Armadura pesada\nLa destreza es la clave para desatar tu furia.\n\nRepárala con un kit de armadura.\n\nBonificación de conjunto completo: Ocúltate más rápido.,"Schwere Rüstung\nGeschicklichkeit ist der Schlüssel, um deine Wut zu entfesseln.\n\nRepariere sie mit einem Rüstungsset.\n\nVollständiger Set-Bonus: Werde schneller unsichtbar.",Ciężka zbroja\nZręczność to klucz do uwolnienia furii.\n\nNapraw ją za pomocą zestawu pancerza.\n\nPremia za cały zestaw: Szybciej się ukrywaj.,Armadura Pesada\nDestreza é a chave para liberar sua fúria.\n\nRepare com um Kit de Armadura.\n\nBônus de Conjunto Completo: Fique oculto mais rapidamente.,Тяжелая броня\nЛовкость — ключ к высвобождению вашей ярости.\n\nРемонтируйте с помощью комплекта брони.\n\nБонус полного комплекта: вы быстрее становитесь незаметным.,Ağır Zırh\nÖfkenizi serbest bırakmanın anahtarı el becerisidir.\n\nZırh Seti ile onarın.\n\nTam Set Bonusu: Daha hızlı gizlenin.,重型護甲\n敏捷是釋放你怒火的關鍵。\n\n使用護甲修復包修復。\n\n全套加成： Become hidden更快.
armorAssassinHelmetDesc1,Heavy Armor\nThey'll never see it coming.\n\nRepair with an Armor Kit.\n\nFull Set Bonus: Become hidden faster.,Armure lourde\nIls ne le verront pas venir.\n\nRéparez avec un kit d'armure.\n\nBonus d'ensemble complet : cachez-vous plus rapidement.,Armadura pesada\nNunca la verán venir.\n\nRepárala con un kit de armadura.\n\nBonificación de conjunto completo: Ocúltate más rápido.,Schwere Rüstung\nSie werden es nie kommen sehen.\n\nRepariere sie mit einem Rüstungsset.\n\nVollständiger Set-Bonus: Werde schneller unsichtbar.,Ciężka zbroja\nNigdy jej nie zobaczą.\n\nNapraw ją za pomocą zestawu pancerza.\n\nPremia za cały zestaw: Szybciej się ukrywaj.,Armadura Pesada\nEles nunca vão ver chegar.\n\nRepare com um Kit de Armadura.\n\nBônus de Conjunto Completo: Fique invisível mais rápido.,Тяжелая броня\nОни никогда этого не заметят.\n\nРемонтируйте с помощью комплекта брони.\n\nБонус полного комплекта: вы быстрее становитесь незаметным.,Ağır Zırh\nBunu asla göremeyecekler.\n\nZırh Seti ile onarın.\n\nTam Set Bonusu: Daha hızlı gizlenin.,重型護甲\n他們永遠不會看到它的到來。\n\n使用護甲修復包修復。\n\n全套加成：更快隱藏。
armorAssassinOutfitDesc1,"Heavy Armor\nMove unseen, unheard, and unharmed.\n\nRepair with an Armor Kit.\n\nFull Set Bonus: Become hidden faster.","Armure lourde\nDéplacez-vous sans être vu, entendu et indemne.\n\nRéparez avec un kit d'armure.\n\nBonus d'ensemble complet : cachez-vous plus rapidement.","Armadura pesada\nMuévete sin ser visto, oído ni herido.\n\nRepárala con un kit de armadura.\n\nBonificación de conjunto completo: Ocúltate más rápido.","Schwere Rüstung\nBewege dich ungesehen, ungehört und unverletzt.\n\nRepariere sie mit einem Rüstungsset.\n\nVollständiger Setbonus: Werde schneller unsichtbar.","Ciężka zbroja\nPoruszaj się niezauważony, niesłyszalny i nienaruszony.\n\nNapraw ją za pomocą zestawu pancerza.\n\nPremia za cały zestaw: Szybciej się ukrywaj.","Armadura Pesada\nMova-se sem ser visto, ouvido ou ileso.\n\nRepare com um Kit de Armadura.\n\nBônus de Conjunto Completo: Oculte-se mais rapidamente.","Тяжелая броня\nПередвигайтесь незаметно, неслышно и невредимо.\n\nРемонтируйте с помощью комплекта брони.\n\nБонус полного комплекта: становитесь незаметным быстрее.","Ağır Zırh\nGörünmeden, duyulmadan ve zarar görmeden hareket edin.\n\nZırh Seti ile onarın.\n\nTam Set Bonusu: Daha hızlı gizlenin.",重型護甲\n無聲無息、安然無恙地移動。\n\n使用護甲修復包修復。\n\n全套加成：更快隱藏。
